com_id,com_code,com_name_ar,com_name_en,com_tel,com_address,com_usr_code,com_active,sec_insert_uid,sec_insert_date,sec_update_uid,sec_update_date
"214","214","ايموفورم","EMOFORM","","","","1","","","",""
"215","215","جيبسونا الفرنسية","GYPSONA FRANCE","","","","1","","","",""
"216","216","أكتيف الأنجليزية","ACTIVE  ENGLISH","","","","1","","","",""
"217","217","مصر ماركتينج","MISR MARKETING","","","","1","","","",""
"218","218","ارازينى","ARAZAINI","","","","1","","","1","20/09/2007 1:40:34 pm"
"219","219","اكاديما انترناشيونال تريدينج","ACADIMA INTERNATIONAL TRADING  Ati","","","","1","","","",""
"220","220","ماريز","MARIES","","","","1","","","",""
"221","221","بيوفيلم","BIOFILM","","","","1","","","",""
"222","222","ليدرز فارم","LEADERS PHARM","","","","1","","","1","20/09/2007 3:08:13 pm"
"223","223","دورج","DORGE -- D","","","","1","","","",""
"224","224","جاماكس أل","GAMAX L","","","","1","","","",""
"225","225","جدكو","JEDCO","","","","1","","","",""
"226","226","يوشيندو","YOSHINDO","","","","1","","","",""
"227","227","بي. دي .تي","B. D . T","","","","1","","","",""
"228","228","بيوريتش","BIORICHE","","","","1","","","",""
"229","229","نافا","NAPHA","","","","1","","","",""
"230","230","بيمكس","PEEMEX","","","","1","","","",""
"231","231","مان فريش كو","MAN FRESH CO","","","","1","","","",""
"232","232","راوا واجنر","RAWA WAGNER","","","","1","","","",""
"233","233","أتومان","OTTOMAN","","","","1","","","",""
"234","234","بايلول","BAILLEUL","","","","1","","","",""
"235","235","يو بي إس أيه","UPSA","","","","1","","","",""
"236","236","أركيديا أنترناشيونال","ARKEDIA ITERNATIONAL","","","","1","","","",""
"237","237","سيبكو","SEPCO COMPANY","","","","1","","","",""
"238","238","دي أي أن كيه","DENK","","","","1","","","",""
"1","1","غير معرفة","NOT AVAILABLE","","","","1","","","1","13/06/2007 2:20:50 pm"
"2","2","افينتس فارما","AVENTIS PHARMA","","","","1","","","1","08/12/2007 4:44:12 pm"
"3","3","رولاب","ROLAB","","","","1","","","",""
